ft name, total 0, total 1, 0 & diabetes, 0 & no diabetes, 1 & diabetes, 1 & no diabetes,diabetes + 1 / 1,no diabetes + 1 / 1,diabetes + 0/0,no diabetes + 0/0,
PHYSIOKINESTHERAPY,2416,17,223,2193,2,15,12%,88%,9%,91%,
FIELD OF VISION <CAMPIMETRY>,2416,17,223,2193,2,15,12%,88%,9%,91%,
V.SENOLOGICA,1902,531,163,1739,62,469,12%,88%,9%,91%,
TOTAL BILIRUBIN,1935,498,167,1768,58,440,12%,88%,9%,91%,
RX KNEE RX,2390,43,220,2170,5,38,12%,88%,9%,91%,
DYSLIPIDEMIA,2407,26,222,2185,3,23,12%,88%,9%,91%,
'VALSARTAN E DIURETICI',2407,26,222,2185,3,23,12%,88%,9%,91%,
Pregnancy at risk,2407,26,222,2185,3,23,12%,88%,9%,91%,
K BLADDER,2415,18,223,2192,2,16,11%,89%,9%,91%,
THROATPINOPENIA,2424,9,224,2200,1,8,11%,89%,9%,91%,
ENDOGENOUS DEPRESSION,2424,9,224,2200,1,8,11%,89%,9%,91%,
PARKINSON'S DISEASE,2415,18,223,2192,2,16,11%,89%,9%,91%,
PROTEINURIA,2424,9,224,2200,1,8,11%,89%,9%,91%,
'ACIDO ALENDRONICO',2424,9,224,2200,1,8,11%,89%,9%,91%,
'ACIDO VALPROICO',2424,9,224,2200,1,8,11%,89%,9%,91%,
'IVABRADINA',2424,9,224,2200,1,8,11%,89%,9%,91%,
'LEVOCETIRIZINA',2424,9,224,2200,1,8,11%,89%,9%,91%,
'NITROGLICERINA',2424,9,224,2200,1,8,11%,89%,9%,91%,
'VILANTEROLO E FLUTICASONE FUROATO',2424,9,224,2200,1,8,11%,89%,9%,91%,
IRON <SIDEREMIA>,1919,514,169,1750,56,458,11%,89%,9%,91%,
V. OPHELISTICS,2332,101,214,2118,11,90,11%,89%,9%,91%,
'DESAMETASONE ED ANTIMICROBICI',2387,46,220,2167,5,41,11%,89%,9%,91%,
'AMOXICILLINA ED INIBITORI ENZIMATICI',2221,212,202,2019,23,189,11%,89%,9%,91%,
BILATERAL MAMMOGRAPHY,2330,103,214,2116,11,92,11%,89%,9%,91%,
DEPRESSION,2376,57,219,2157,6,51,11%,89%,9%,91%,
COMPLETE ABDOMEN CT + CONTRAST,2414,19,223,2191,2,17,11%,89%,9%,91%,
'AMOXICILLINA',2414,19,223,2191,2,17,11%,89%,9%,91%,
'CALCIO ASSOCIAZIONI CON VITAMINA D E/O ALTRI FARMACI',2414,19,223,2191,2,17,11%,89%,9%,91%,
'COLECALCIFEROLO',2300,133,211,2089,14,119,11%,89%,9%,91%,
'PRULIFLOXACINA',2414,19,223,2191,2,17,11%,89%,9%,91%,
Hashimoto's thyroiditis,2404,29,222,2182,3,26,10%,90%,9%,91%,
ECO UMMS,2326,107,214,2112,11,96,10%,90%,9%,91%,
K RIGHT KIDNEY,2423,10,224,2199,1,9,10%,90%,9%,91%,
SCAPOLHOMERAL PERIARTHRITIS,2423,10,224,2199,1,9,10%,90%,9%,91%,
TRANSVAGINAL ECHO,2423,10,224,2199,1,9,10%,90%,9%,91%,
TSHR,2263,170,208,2055,17,153,10%,90%,9%,91%,
HEPATITIS B HBsAg Ab [HBV],2423,10,224,2199,1,9,10%,90%,9%,91%,
HEPATITIS C RNA (P.C.R.) [HCV],2423,10,224,2199,1,9,10%,90%,9%,91%,
PAP TEST <VAGINAL CYTOLOGICAL>,2403,30,222,2181,3,27,10%,90%,9%,91%,
'BIFOSFONATI',2423,10,224,2199,1,9,10%,90%,9%,91%,
'CLARITROMICINA',2413,20,223,2190,2,18,10%,90%,9%,91%,
'KETOPROFENE',2413,20,223,2190,2,18,10%,90%,9%,91%,
'VENLAFAXINA',2423,10,224,2199,1,9,10%,90%,9%,91%,
HYPOTHYROIDISM from chronic thyroiditis,2382,51,220,2162,5,46,10%,90%,9%,91%,
HEPATITIS B HBsAg Ag [HBV] [AU ANTIGEN],2382,51,220,2162,5,46,10%,90%,9%,91%,
SIDE OPENING ANEMIA,2401,32,222,2179,3,29,9%,91%,9%,91%,
ALZHEIMER'S DISEASE,2411,22,223,2188,2,20,9%,91%,9%,91%,
EFFORT ECG <CYCLE ERGOMETER>,2411,22,223,2188,2,20,9%,91%,9%,91%,
LDH <LACTATE DEHYDROGENASE>,2400,33,222,2178,3,30,9%,91%,9%,91%,
HERPES VIRUS Ab f.c.,2422,11,224,2198,1,10,9%,91%,9%,91%,
'DESAMETASONE',2422,11,224,2198,1,10,9%,91%,9%,91%,
'FLUOXETINA',2422,11,224,2198,1,10,9%,91%,9%,91%,
'TIMOLOLO ASSOCIAZIONI',2422,11,224,2198,1,10,9%,91%,9%,91%,
Early diagnosis of tumors - mammographic (between 45 and 69 years every 2 years),2411,22,223,2188,2,20,9%,91%,9%,91%,
'ESOMEPRAZOLO',2399,34,222,2177,3,31,9%,91%,9%,91%,
'LEVOSULPIRIDE',2376,57,220,2156,5,52,9%,91%,9%,91%,
VAGINAL swab,2398,35,222,2176,3,32,9%,91%,9%,91%,
'IBUPROFENE',2339,94,217,2122,8,86,9%,91%,9%,91%,
HYPERCHOLESTEROLEMIA,2338,95,217,2121,8,87,8%,92%,9%,91%,
PSYCHOSIS,2421,12,224,2197,1,11,8%,92%,9%,91%,
LUMBAR AND FEMORAL DENSITOMETRY <DEXA>,2409,24,223,2186,2,22,8%,92%,9%,91%,
CHORIONIC GONADOTROPIN free beta<S>,2421,12,224,2197,1,11,8%,92%,9%,91%,
T3 FREE <FREE TRIODOTYRONINE>,2409,24,223,2186,2,22,8%,92%,9%,91%,
Ab ANTI TRANSGLUTAMINASE,2421,12,224,2197,1,11,8%,92%,9%,91%,
CA 125 <CARBOHYDRATE ANTIGEN 125>,2421,12,224,2197,1,11,8%,92%,9%,91%,
Social pension income exemption,2421,12,224,2197,1,11,8%,92%,9%,91%,
THYROID ECHO <HEAD AND NECK ECHO>,2384,49,221,2163,4,45,8%,92%,9%,91%,
HEPATITIS C Ab [HCV],2384,49,221,2163,4,45,8%,92%,9%,91%,
ALKALINE PHOSPHATASE,2334,99,217,2117,8,91,8%,92%,9%,91%,
CA 15.3 <CARBOHYDRATE ANTIGEN>,2408,25,223,2185,2,23,8%,92%,9%,91%,
Graves disease,2420,13,224,2196,1,12,8%,92%,9%,91%,
DUODENOSCOPY,2407,26,223,2184,2,24,8%,92%,9%,91%,
X-ray of the dental arches <ORTHOPANORAMIC>,2420,13,224,2196,1,12,8%,92%,9%,91%,
TROPONIN I,2420,13,224,2196,1,12,8%,92%,9%,91%,
TREPONEMA PALLIDUM TPHA quantitative,2420,13,224,2196,1,12,8%,92%,9%,91%,
ANTI HIV Ab 1-2,2407,26,223,2184,2,24,8%,92%,9%,91%,
RUBELLA VIRUS ANTIBODY <RUBEO TEST>,2420,13,224,2196,1,12,8%,92%,9%,91%,
GILBERT SYNDROME,2327,106,217,2110,8,98,8%,92%,9%,91%,
REFLUX ESOPHAGITIS 1 AND 2 GRADE,2392,41,222,2170,3,38,7%,93%,9%,91%,
REMOVAL OF SKIN LESION,2419,14,224,2195,1,13,7%,93%,9%,91%,
EMG <ELECTROMIGRAPHY>,2419,14,224,2195,1,13,7%,93%,9%,91%,
MITRAL INSUFFICIENCY,2418,15,224,2194,1,14,7%,93%,9%,91%,
COLON DIVERTICULUS,2418,15,224,2194,1,14,7%,93%,9%,91%,
VITAMIN D,2403,30,223,2180,2,28,7%,93%,9%,91%,
INDIRECT COOMBS TEST,2418,15,224,2194,1,14,7%,93%,9%,91%,
'APPARATO MUSCOLO SCHELETRICO',2418,15,224,2194,1,14,7%,93%,9%,91%,
'CETIRIZINA',2418,15,224,2194,1,14,7%,93%,9%,91%,
OBSTETRIC ULTRASOUND <FETOPLACENTARY ULTRASOUND>,2417,16,224,2193,1,15,6%,94%,9%,91%,
'CEFIXIMA',2417,16,224,2193,1,15,6%,94%,9%,91%,
Injured at work or suffering from professional illness,2383,50,222,2161,3,47,6%,94%,9%,91%,
LOW BACK PAIN,2416,17,224,2192,1,16,6%,94%,9%,91%,
'ACIDO ALGINICO',2416,17,224,2192,1,16,6%,94%,9%,91%,
'BETAMETASONE',2365,68,221,2144,4,64,6%,94%,9%,91%,
'METILPREDNISOLONE',2416,17,224,2192,1,16,6%,94%,9%,91%,
LEFT CARPAL TUNNEL SYNDROME,2415,18,224,2191,1,17,6%,94%,9%,91%,
PREALBUMIN,2415,18,224,2191,1,17,6%,94%,9%,91%,
PHARYNGEAL SWAB,2415,18,224,2191,1,17,6%,94%,9%,91%,
'FLUCONAZOLO',2415,18,224,2191,1,17,6%,94%,9%,91%,
'ALPRAZOLAM',2378,55,222,2156,3,52,5%,95%,9%,91%,
BLOOD GROUP ABO and Rh,2414,19,224,2190,1,18,5%,95%,9%,91%,
TOXOPLASMA ANTIBODY Total (E.I.A.),2414,19,224,2190,1,18,5%,95%,9%,91%,
'MAGALDRATO',2414,19,224,2190,1,18,5%,95%,9%,91%,
ANTI NUCLEUS Ab <ANA>,2413,20,224,2189,1,19,5%,95%,9%,91%,
RHEUMATOID FACTOR <RHEUMA TEST>,2413,20,224,2189,1,19,5%,95%,9%,91%,
'POLIVALENTI',2412,21,224,2188,1,20,5%,95%,9%,91%,
RIGHT SCIATALGIA,2411,22,224,2187,1,21,5%,95%,9%,91%,
'NEBIVOLOLO',2411,22,224,2187,1,21,5%,95%,9%,91%,
'FLUNISOLIDE',2388,45,223,2165,2,43,4%,96%,9%,91%,
ANXIOUS DEPRESSION,2410,23,224,2186,1,22,4%,96%,9%,91%,
ANTI-CITRULLINE ANTIBODIES,2410,23,224,2186,1,22,4%,96%,9%,91%,
PTT <PARTIAL THROMBOPLASTIN TIME>,2384,49,223,2161,2,47,4%,96%,9%,91%,
FOOD ALLERGY probably to fish,2383,50,223,2160,2,48,4%,96%,9%,91%,
CYTOMEGALOVIRUS Ab <ANTIBODIES> f.c.,2408,25,224,2184,1,24,4%,96%,9%,91%,
'CLORTETRACICLINA',2408,25,224,2184,1,24,4%,96%,9%,91%,
'ESCITALOPRAM',2408,25,224,2184,1,24,4%,96%,9%,91%,
PREGNANCY,2280,153,219,2061,6,147,4%,96%,10%,90%,
Income exemption from regional anti-crisis measures,2403,30,224,2179,1,29,3%,97%,9%,91%,
NORMAL PREGNANCY,2401,32,224,2177,1,31,3%,97%,9%,91%,
'PAROXETINA',2400,33,224,2176,1,32,3%,97%,9%,91%,
'METILPREDNISOLONE ACEPONATO',2398,35,224,2174,1,34,3%,97%,9%,91%,
INFLUENCE,2394,39,224,2170,1,38,3%,97%,9%,91%,
'SALBUTAMOLO',2393,40,224,2169,1,39,3%,98%,9%,91%,
Bronchial asthma,2342,91,224,2118,1,90,1%,99%,10%,90%,
VIRAL GASTROENTERITITIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
PULMONARY TUBERCULOSIS,2431,2,225,2206,0,2,0%,100%,9%,91%,
POT DISEASE,2432,1,225,2207,0,1,0%,100%,9%,91%,
TUBERCULOSIS SPINAL COLUMN TESTS NOT KNOWN,2432,1,225,2207,0,1,0%,100%,9%,91%,
HIP TUBERCULOSIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
STREPTOCOCCAL PHARYNGITIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
ACTINOMYCOTIC LUNG INFECTION,2432,1,225,2207,0,1,0%,100%,9%,91%,
HELICOBACTER PYLORI INFECTION,2420,13,225,2195,0,13,0%,100%,9%,91%,
HUMAN HIV IMMUNODEFICIENCY VIRUS INFECTION,2432,1,225,2207,0,1,0%,100%,9%,91%,
CHICKENPOX,2432,1,225,2207,0,1,0%,100%,9%,91%,
CHICKENPOX_1 (my edit),2428,5,225,2203,0,5,0%,100%,9%,91%,
RUBELLA,2427,6,225,2202,0,6,0%,100%,9%,91%,
HEPATITIS A,2432,1,225,2207,0,1,0%,100%,9%,91%,
HEPATITIS B,2431,2,225,2206,0,2,0%,100%,9%,91%,
CHRONIC VIRAL HEPATITIS B,2430,3,225,2205,0,3,0%,100%,9%,91%,
Acute VIRAL HEPATITIS C,2432,1,225,2207,0,1,0%,100%,9%,91%,
INFECTIOUS MONONUCLEOSIS,2423,10,225,2198,0,10,0%,100%,9%,91%,
Plantar WARTS,2432,1,225,2207,0,1,0%,100%,9%,91%,
BUTTON FEVER,2432,1,225,2207,0,1,0%,100%,9%,91%,
PRIMARY GENITAL SYPHILIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
Recurrent non-gonococcal urethritis,2432,1,225,2207,0,1,0%,100%,9%,91%,
ONYCOMYCOSIS LEFT TOE,2429,4,225,2204,0,4,0%,100%,9%,91%,
TINEA MANUUM,2432,1,225,2207,0,1,0%,100%,9%,91%,
TINEA CRURIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
DERMATOPHYTOSIS other locations - MYCOSIS - inguinal,2432,1,225,2207,0,1,0%,100%,9%,91%,
MYCOSIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
OTHER DERMATOMYCOSES others,2432,1,225,2207,0,1,0%,100%,9%,91%,
CANDIDA VULVOVAGINITIS,2431,2,225,2206,0,2,0%,100%,9%,91%,
SCABIES,2431,2,225,2206,0,2,0%,100%,9%,91%,
SARCOIDOSI,2432,1,225,2207,0,1,0%,100%,9%,91%,
K FLOOR MOUTH,2432,1,225,2207,0,1,0%,100%,9%,91%,
K BODY STOMACH,2432,1,225,2207,0,1,0%,100%,9%,91%,
K TRANSVERSE COLON,2431,2,225,2206,0,2,0%,100%,9%,91%,
K LEFT COLON,2431,2,225,2206,0,2,0%,100%,9%,91%,
K PRIMITIVES LIVER,2431,2,225,2206,0,2,0%,100%,9%,91%,
K HEAD PANCREAS,2432,1,225,2207,0,1,0%,100%,9%,91%,
OTHER K SKIN FOREHEAD sarcomatoid carcinoma,2432,1,225,2207,0,1,0%,100%,9%,91%,
SPINOCELLULAR EPITHELIOMA,2424,9,225,2199,0,9,0%,100%,9%,91%,
K BREAST RIGHT INTERNAL LOWER QUADRANT Interv. of QUART with emptying. armpit cable,2432,1,225,2207,0,1,0%,100%,9%,91%,
K UPPER-EXTERNAL DIAL OF WOMEN'S BREAST,2431,2,225,2206,0,2,0%,100%,9%,91%,
K UTERUS,2430,3,225,2205,0,3,0%,100%,9%,91%,
K EXOCERVIX,2432,1,225,2207,0,1,0%,100%,9%,91%,
K CERVIX,2431,2,225,2206,0,2,0%,100%,9%,91%,
K BODY OF THE UTERUS EXCEPT LISTMO,2431,2,225,2206,0,2,0%,100%,9%,91%,
K TESTICLE,2432,1,225,2207,0,1,0%,100%,9%,91%,
K TESTICLE_1 (my edit),2432,1,225,2207,0,1,0%,100%,9%,91%,
K FORESKIN,2432,1,225,2207,0,1,0%,100%,9%,91%,
K PENIS,2431,2,225,2206,0,2,0%,100%,9%,91%,
K BLADDER TRIGONE,2432,1,225,2207,0,1,0%,100%,9%,91%,
K BRAIN,2431,2,225,2206,0,2,0%,100%,9%,91%,
BRAIN AND SPINAL CORD METASTASIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
HODGKIN DISEASE CELLULARITY?ɂǨ MIXED,2432,1,225,2207,0,1,0%,100%,9%,91%,
HODGKIN'S DISEASE,2431,2,225,2206,0,2,0%,100%,9%,91%,
HAIRY CELL LEUKEMIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
LYMPHOMA with gastric localization,2432,1,225,2207,0,1,0%,100%,9%,91%,
MULTIPLE MYELOMA,2432,1,225,2207,0,1,0%,100%,9%,91%,
CHRONIC LYMPHOID LEUKEMIA IN REMISSION,2432,1,225,2207,0,1,0%,100%,9%,91%,
ACUTE MYELOID LEUKEMIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
CHRONIC MYELOID LEUKEMIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
OTHER ACUTE LEUKEMIAS ACUTE LYMPHOBLASTIC,2432,1,225,2207,0,1,0%,100%,9%,91%,
Inflammatory LIPOMA of the back,2432,1,225,2207,0,1,0%,100%,9%,91%,
UTERUS FIBROMYOMA,2432,1,225,2207,0,1,0%,100%,9%,91%,
UTERINE FIBROMYOMA,2431,2,225,2206,0,2,0%,100%,9%,91%,
TB OVARY,2432,1,225,2207,0,1,0%,100%,9%,91%,
ADENOMATOUS POLYP with low grade dysplasia of the colon,2432,1,225,2207,0,1,0%,100%,9%,91%,
PITUITARY ADENOMA,2431,2,225,2206,0,2,0%,100%,9%,91%,
UNCERTAIN PAROTID TUMOUR,2432,1,225,2207,0,1,0%,100%,9%,91%,
UNCERTAIN PANCREAS CANCER,2431,2,225,2206,0,2,0%,100%,9%,91%,
MULTIPLE PULMONARY NODULES OF NDD,2432,1,225,2207,0,1,0%,100%,9%,91%,
NEUROFIBROMATOSIS RECKLINGHAUSEN,2432,1,225,2207,0,1,0%,100%,9%,91%,
POLYCYTHEMIA VERA,2432,1,225,2207,0,1,0%,100%,9%,91%,
BREAST NODULE,2432,1,225,2207,0,1,0%,100%,9%,91%,
Papillary neoplasm on lateral neck cyst,2431,2,225,2206,0,2,0%,100%,9%,91%,
Toxic uninodular goiter without thyrotoxic crisis,2431,2,225,2206,0,2,0%,100%,9%,91%,
TOXIC NODULAR GOITER,2431,2,225,2206,0,2,0%,100%,9%,91%,
SUSPENDED HYPERTHYROIDISM Hashitoxicosis,2430,3,225,2205,0,3,0%,100%,9%,91%,
CONGENITAL HYPOTHYROIDISM,2431,2,225,2206,0,2,0%,100%,9%,91%,
IATROGENIC HYPOTHYROIDISM,2432,1,225,2207,0,1,0%,100%,9%,91%,
SUBACUTE THYROIDITIS,2431,2,225,2206,0,2,0%,100%,9%,91%,
CHRONIC THYROIDITIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
THYROIDITIS,2430,3,225,2205,0,3,0%,100%,9%,91%,
THYROID CYSTS,2431,2,225,2206,0,2,0%,100%,9%,91%,
HYPERINSULINISM,2432,1,225,2207,0,1,0%,100%,9%,91%,
PRIMARY HYPERPARATHYROIDISM Parathyroid adenoma,2432,1,225,2207,0,1,0%,100%,9%,91%,
ACROMEGALY AND GIGANTISM,2432,1,225,2207,0,1,0%,100%,9%,91%,
HYPERPROLACTINEMIA,2431,2,225,2206,0,2,0%,100%,9%,91%,
ISOLATED GROWTH HORMONE DEFICIT GH ET?ɂǨ DEVELOPMENTAL,2432,1,225,2207,0,1,0%,100%,9%,91%,
ISOLATED OR SPORADIC HYPERTRIGLYCERIDEMIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
GOUTY ARTHROPATHY < GOUT >,2432,1,225,2207,0,1,0%,100%,9%,91%,
Parathyroid-free hypocalcemia,2431,2,225,2206,0,2,0%,100%,9%,91%,
MUCOPOLYSACCHARIDOSIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
HISTOCYTOSIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
OBESITY_1 (my edit),2432,1,225,2207,0,1,0%,100%,9%,91%,
HYPOGAMMAGLOBULINEMIA,2431,2,225,2206,0,2,0%,100%,9%,91%,
IRON FREE ANEMIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
PERNICIOUS ANEMIA,2431,2,225,2206,0,2,0%,100%,9%,91%,
VITAMIN B12 DEFICIENCY ANEMIA < MEGALOBLASTIC >,2432,1,225,2207,0,1,0%,100%,9%,91%,
MACROCYTIC ANEMIA,2430,3,225,2205,0,3,0%,100%,9%,91%,
HEMOGLOBINOPATHY,2432,1,225,2207,0,1,0%,100%,9%,91%,
APLASTIC ANEMIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
mild normochromic ANEMIA macrocytic,2431,2,225,2206,0,2,0%,100%,9%,91%,
SCHOENLEIN-HENOCH VASCULAR PURPURA,2432,1,225,2207,0,1,0%,100%,9%,91%,
PRIMARY THROMBOCYTOPENIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
NEUTROPENIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
EOSINOPHILIA Disease caused by eosinophilic infiltrates,2432,1,225,2207,0,1,0%,100%,9%,91%,
LYMPHADENITIS right armpit,2432,1,225,2207,0,1,0%,100%,9%,91%,
SENILE PSYCHOSIS,2431,2,225,2206,0,2,0%,100%,9%,91%,
ARTERIOSCLEROTIC DEMENTIA_1 (my edit),2431,2,225,2206,0,2,0%,100%,9%,91%,
DELIRIUM TREMENS,2432,1,225,2207,0,1,0%,100%,9%,91%,
SCHIZOPHRENIC PSYCHOSIS SIMPLE TYPE,2431,2,225,2206,0,2,0%,100%,9%,91%,
PARANOID TYPE SCHIZOPHRENIC PSYCHOSIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
SCHIZOAFFECTIVE TYPE,2432,1,225,2207,0,1,0%,100%,9%,91%,
MANIC DEPRESSIVE PSYCHOSIS OF MANIC TYPE,2432,1,225,2207,0,1,0%,100%,9%,91%,
MAJOR DEPRESSION RECURRING EPISODE,2431,2,225,2206,0,2,0%,100%,9%,91%,
BIPOLAR AFFECTIVE SYNDROME,2431,2,225,2206,0,2,0%,100%,9%,91%,
MANIC-DEPRESSIVE PSYCHOSIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
MANIC-DEPRESSIVE PSYCHOSIS_1 (my edit),2432,1,225,2207,0,1,0%,100%,9%,91%,
DEPRESSIVE PSYCHOSIS,2431,2,225,2206,0,2,0%,100%,9%,91%,
ANXIETY,2430,3,225,2205,0,3,0%,100%,9%,91%,
ANXIETY_1 (my edit),2423,10,225,2198,0,10,0%,100%,9%,91%,
PANIC ATTACK,2429,4,225,2204,0,4,0%,100%,9%,91%,
BODY DYSMORPHIC SYNDROME,2432,1,225,2207,0,1,0%,100%,9%,91%,
ERECTILE DYSFUNCTION,2432,1,225,2207,0,1,0%,100%,9%,91%,
PSYCHOSEXUAL DYSFUNCTION WITH PREMATURE EJACULATION,2432,1,225,2207,0,1,0%,100%,9%,91%,
CHRONIC ALCOHOLISM,2432,1,225,2207,0,1,0%,100%,9%,91%,
CHRONIC ALCOHOLISM_1 (my edit),2432,1,225,2207,0,1,0%,100%,9%,91%,
CANNABIS DRUG ADDICTION,2432,1,225,2207,0,1,0%,100%,9%,91%,
HEART PALM,2432,1,225,2207,0,1,0%,100%,9%,91%,
BULIMIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
TENSION HEADACHE,2432,1,225,2207,0,1,0%,100%,9%,91%,
TENSION HEADACHE_1 (my edit),2430,3,225,2205,0,3,0%,100%,9%,91%,
ANXIETY EMOTIONAL CRISIS OR PANIC STATE DUE TO STRESS,2432,1,225,2207,0,1,0%,100%,9%,91%,
DYSLEXIA DEVELOPMENT,2432,1,225,2207,0,1,0%,100%,9%,91%,
FUNCTIONAL COLONPATHY < SPASTIC COLITIS >,2432,1,225,2207,0,1,0%,100%,9%,91%,
VIRAL MENINGITIS FROM TUSCANY VIRUS,2432,1,225,2207,0,1,0%,100%,9%,91%,
DYSTONIA MUSCULORUM DEFORMANS,2432,1,225,2207,0,1,0%,100%,9%,91%,
EXTRAPYRAMIDAL SYNDROME,2432,1,225,2207,0,1,0%,100%,9%,91%,
EXTRAPYRAMIDAL DISEASES AND MOVEMENT DISORDERS,2432,1,225,2207,0,1,0%,100%,9%,91%,
AMYOTROPHIC LATERAL SCLEROSIS,2431,2,225,2206,0,2,0%,100%,9%,91%,
SYRINGOMYELIA - SYRINGOBULBIA -,2432,1,225,2207,0,1,0%,100%,9%,91%,
MULTIPLE SCLEROSIS < SAP >,2429,4,225,2204,0,4,0%,100%,9%,91%,
OPTICAL NEUROMYELITIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
LEFT HEMIPARESIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
TETRAPLEGIA in cervical myelic fracture,2431,2,225,2206,0,2,0%,100%,9%,91%,
CONGENITAL SPASTIC CEREBRAL PALSY,2432,1,225,2207,0,1,0%,100%,9%,91%,
GENERALIZED NON-CONVULSIVE EPILEPSY,2432,1,225,2207,0,1,0%,100%,9%,91%,
GENERALIZED CONVULSIVE EPILEPSY,2432,1,225,2207,0,1,0%,100%,9%,91%,
MIGRAINE WITH AURA,2429,4,225,2204,0,4,0%,100%,9%,91%,
Common migraine,2432,1,225,2207,0,1,0%,100%,9%,91%,
MIGRAINE,2411,22,225,2186,0,22,0%,100%,9%,91%,
MULTIINFARTUAL ENCEPHALOPATHY,2432,1,225,2207,0,1,0%,100%,9%,91%,
TRIGEMINAL NEURALGIA,2431,2,225,2206,0,2,0%,100%,9%,91%,
BELL PARALYSIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
METARSALGIA MORTON NEURALGIA OR NEURINOMA on the right,2431,2,225,2206,0,2,0%,100%,9%,91%,
POLYNEUROPATHY DUE TO OTHER TOXIC AGENTS,2432,1,225,2207,0,1,0%,100%,9%,91%,
TOXIC AND INFLAMMATORY NEUROPATHIES,2432,1,225,2207,0,1,0%,100%,9%,91%,
BENIGN CONGENITAL MYOPATHY,2432,1,225,2207,0,1,0%,100%,9%,91%,
GAIT DISORDERS,2432,1,225,2207,0,1,0%,100%,9%,91%,
RETINAL DETACHMENT,2430,3,225,2205,0,3,0%,100%,9%,91%,
AMAUROSIS FUGAX,2432,1,225,2207,0,1,0%,100%,9%,91%,
CENTRAL RETINA VEIN OCCLUSION,2432,1,225,2207,0,1,0%,100%,9%,91%,
IRIDOCYCLITIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
RECURRENT ANTERIOR UVEITIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
UVEITIS,2430,3,225,2205,0,3,0%,100%,9%,91%,
Ocular hypertension,2432,1,225,2207,0,1,0%,100%,9%,91%,
CATARACT,2429,4,225,2204,0,4,0%,100%,9%,91%,
DIPLOPIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
VISUAL FIELD DEFECTS right homonymous hemianopia,2432,1,225,2207,0,1,0%,100%,9%,91%,
VISION DEFICIT,2432,1,225,2207,0,1,0%,100%,9%,91%,
MODERATE BLINDNESS BETTER EYE OTHER SERIOUS IMPAIRMENT,2432,1,225,2207,0,1,0%,100%,9%,91%,
HYPOVISUS,2431,2,225,2206,0,2,0%,100%,9%,91%,
KERATOCONUS,2432,1,225,2207,0,1,0%,100%,9%,91%,
CONJUNCTIVITIS,2431,2,225,2206,0,2,0%,100%,9%,91%,
CALAZIO SX,2432,1,225,2207,0,1,0%,100%,9%,91%,
OPTICAL NEURITIS OD,2432,1,225,2207,0,1,0%,100%,9%,91%,
OPTICAL PAPILLITIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
EXOTROPIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
SIXTH NERVE PARESIS OR ABDUCENT NERVE OS,2432,1,225,2207,0,1,0%,100%,9%,91%,
VITREAL DETACHMENT,2432,1,225,2207,0,1,0%,100%,9%,91%,
VITREAL HEMORRHAGE,2432,1,225,2207,0,1,0%,100%,9%,91%,
INFECTIOUS OTITIS EXTERNAL,2432,1,225,2207,0,1,0%,100%,9%,91%,
ACUTE OTITIS EXTERNAL,2430,3,225,2205,0,3,0%,100%,9%,91%,
CHRONIC SEROUS OTITIS MEDIA,2432,1,225,2207,0,1,0%,100%,9%,91%,
CATARRAL OTITIS MEDIA,2429,4,225,2204,0,4,0%,100%,9%,91%,
OTITIS MEDIA,2429,4,225,2204,0,4,0%,100%,9%,91%,
CHOLESTEATOMA,2432,1,225,2207,0,1,0%,100%,9%,91%,
MENIERE DISEASE,2431,2,225,2206,0,2,0%,100%,9%,91%,
BENIGN PAROXYSTICAL POSTURAL VERTIGO,2432,1,225,2207,0,1,0%,100%,9%,91%,
VESTIBULAR NEURONITIS,2432,1,225,2207,0,1,0%,100%,9%,91%,
COCHLEAR OTOSCLEROSIS Au right,2432,1,225,2207,0,1,0%,100%,9%,91%,
